Nome,Tipo,Elemento,Custo de Mana,Resistência,Combate,Efeito / Habilidade,Prompt de Arte,Custo de Habilidade,Carta Criada
Quimera,Monstro,Fogo,2,16,17,Uma vez por turno ganha +2 de Combate neste turno se o combatente ativo do oponente for do elemento Terra.,"A monstrous three-headed chimera of lion, goat, and serpent breathing fire across a scorched battlefield, coiled to strike an earthen foe with extra ferocity. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",1.0,Sim
Trono de Camelot,Domínio,-,3,-,-,"Enquanto ativo, todos os Heróis em campo ganham +3 de Combate. Quando este Domínio for destruído, o dono compra 1 carta.","The grand ruined throne room of Camelot castle, banners of legendary knights hanging from stone rafters, golden heroic light streaming through broken windows. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",,Sim
Fenda de R'lyeh,Domínio,-,4,-,-,"Enquanto ativo, todos os Monstros em campo ganham +4 de Resistência. No início de cada turno, os dois jogadores descartam 1 carta aleatória da mão.","A nightmarish sunken city of non-Euclidean stone architecture cracked open on the ocean floor, eldritch light pulsing from the fissure. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",,Sim
Vulcão Primordial,Domínio,Fogo,3,-,-,"Enquanto ativo, combatentes de Fogo em campo ganham +3 de Combate; combatentes de Vento em campo perdem 2 de Resistência.","A massive primordial volcano erupting with rivers of molten lava, fire elemental spirits dancing in the flames, ash and embers swirling in fierce wind. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",,Sim
Templo de Atlântida,Domínio,Água,3,-,-,"Sempre que um combatente de Água usar a Habilidade, o feiticeiro dono desse combatente recupera 1 de Mana.","The submerged glowing temple of Atlantis, coral-encrusted pillars and shimmering arcane water-runes deep beneath the sea. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",,Sim
Cânion dos Ventos,Domínio,Vento,2,-,-,"Sempre que um combatente de Vento atacar e sobreviver, ele retorna automaticamente para o Panteão do dono.","A vast windswept canyon with swirling vortexes of air weaving between towering rock spires, banners and loose cloth caught in the gale. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",,Sim
Jardins Suspensos,Domínio,Terra,3,-,-,"Enquanto ativo, combatentes de Terra recebem 3 a menos de dano. Quando um combatente de Terra for destruído, o dono deste Domínio ganha 4 de Mana.","The legendary hanging gardens, terraces of lush earthen greenery cascading down a floating ziggurat, protective roots and vines shielding it. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",,Sim
Tomo do Oráculo,Encantamento,-,2,-,-,Compre 2 cartas do Baralho Arcano.,"An ancient glowing tome floating open in a vast arcane library, pages turning on their own as streams of golden knowledge spill into the air. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",,Sim
Pacto de Sangue,Encantamento,-,1,-,-,"Sacrifique 5 pontos de Resistência do seu combatente; se sobreviver, ganha +6 de Combate até o fim do turno.","A dark ritual circle where a warrior's blood drips onto ancient runes, crimson light surging into their weapon with dangerous power. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",,Sim
Visão do Olho Que Tudo Vê,Encantamento,-,3,-,-,O oponente revela a mão. Escolha uma carta de Maldição ou Encantamento de lá e descarte.,"A massive spectral eye hovering above a battlefield, piercing golden light forcing an opponent's cards to be revealed in the air before it. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",,Sim
Ressurreição Arcana,Encantamento,-,4,-,-,Escolha uma carta da sua Pilha de Descarte e coloque na mão.,"A ghostly translucent hand reaching out of a swirling portal of arcane energy, pulling a glowing card back from a shadowy void. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",,Sim
Transmutação Elemental,Encantamento,-,2,-,-,"Escolha uma Natureza Elemental diferente da atual para o seu combatente, até o início do seu próximo turno.","A warrior engulfed in a swirling vortex of shifting elemental energy, fire, water, wind and earth spiraling and merging around their form. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",,Sim
Desintegração de Realidade,Encantamento,-,3,-,-,Destrua a carta de Domínio ativa no campo.,"A crumbling enchanted castle wall or weapon disintegrating into shards of shattered reality, cracks of white void light spreading outward. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",,Sim
Vórtice Dimensional,Encantamento,-,4,-,-,Retorne o combatente ativo do oponente para o Panteão dele.,"A swirling dimensional rift opening beneath an enemy warrior, pulling them backward through twisting arcane energy into another realm. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",,Sim
Valhalla,Domínio,-,4,-,-,"Quando um Herói for derrotado, ele retorna para o Panteão do dono em vez da Pilha de Descarte.","The grand hall of Valhalla, golden-armored spirits of fallen heroes feasting beneath a vaulted hall lit by eternal torches, a rainbow bridge visible through the doorway. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",,Sim
Fosso de Tártaro,Domínio,Terra,3,-,-,"Enquanto ativo, todo Monstro em campo ganha +3 de Combate. Nenhuma carta pode ser recuperada da Pilha de Descarte.","A bottomless pit of Tartarus carved into cracked black earth, chained monstrous shapes writhing in the darkness below jagged obsidian cliffs. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",,Sim
Oceano Primordial,Domínio,Água,3,-,-,"No início do turno, revela a carta do topo do próprio Baralho. Se for de Água ou Encantamento, compra de graça.","An endless primordial ocean under a swirling star-filled sky, bioluminescent currents revealing glimpses of the future in the waves. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",,Sim
Céus de Valíria,Domínio,Fogo/Vento,4,-,-,"Heróis de Fogo ou Vento ignoram desvantagem elemental. Sempre que atacam, o oponente descarta o topo do baralho.","A floating volcanic sky-realm of fire and wind, dragon-shaped clouds swirling around basalt spires wreathed in flame, riders of fire and wind soaring above. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",,Sim
Clarividência Divina,Encantamento,-,2,-,-,Revele as 3 cartas do topo do baralho do oponente. Descarte 1 e devolva as outras 2.,"A divine oracle's eye opening above a stack of glowing cards, revealing three futures in shimmering golden light before one fades to ash. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",,Sim
Bênção de Yggdrasil,Encantamento,-,3,-,-,"Compre 2 cartas. Se ficar com 1 ou 0 na mão, compre mais 1.","The World Tree Yggdrasil glowing with life, golden leaves falling and transforming into magical cards drifting into a wizard's open hands. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",,Sim
Fúria Titânica,Encantamento,-,2,-,-,"Ganha +8 de Combate neste turno. Na Fase Final deste turno, sofre -4 de Resistência permanente.","A warrior engulfed in surging crimson battle-aura, muscles bulging with titanic power, cracks of dark energy fracturing across their own armor from the strain. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",,Sim
Troca Equivalente,Encantamento,-,1,-,-,Escolha até 3 cartas da mão para embaralhar no baralho. Compre a mesma quantidade.,"A mystical scale of arcane energy balancing glowing cards on either side, one set dissolving into light as an equal number materializes. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",,Sim
Exílio Dimensional,Encantamento,-,5,-,-,Envie o combatente ativo do oponente para a Pilha de Descarte. Ele invoca outro de graça.,"A warrior being violently torn through a jagged portal of banishing light, sucked away into a swirling void of exile. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",,Sim
Chamado do Além,Encantamento,-,3,-,-,Escolha uma Maldição da sua Pilha de Descarte e coloque na mão.,"A ghostly hand emerging from a graveyard portal, offering a glowing cursed relic back into the mortal realm. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",,Sim
Purificação Arcana,Encantamento,-,4,-,-,Revele as Maldições do oponente. Destrua até duas delas.,"A wave of purifying golden light sweeping across a battlefield, shattering dark curse sigils that dissolve into ash. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",,Sim
Manto da Natureza,Encantamento,-,2,-,-,O combatente ganha +5 de Resistência permanente e imunidade a Habilidades de Mana inimigas.,"A warrior wrapped in a living cloak of vines, leaves and roots, glowing green energy forming an impenetrable natural barrier around them. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",,Sim
Escudo de Gelo Absoluto,Maldição,-,3,-,-,O ataque é completamente anulado e o atacante perde a Natureza Elemental até o fim do turno.,"A massive wall of absolute ice bursting up from the ground, freezing an incoming attack solid and stripping the elemental aura from the attacker. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",,Sim
Espelho das Ilusões,Maldição,-,4,-,-,O dano deste combate é redirecionado para o atacante em vez de atingir o seu combatente.,"A shattered mirror floating in the air, reflecting an attacker's own strike back at them in a burst of illusory light. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",,Sim
Areias Movediças,Maldição,-,2,-,-,O combatente invocado pelo oponente entra em campo com -5 de Resistência permanente.,"A warrior sinking into ghostly quicksand as they are summoned, ancient sand swirling and dragging them down weakened. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",,Sim
Roubo de Essência,Maldição,-,3,-,-,"Quando o oponente ativar uma Habilidade, roube a Mana gasta.","A shadowy hand siphoning glowing mana energy directly from an enemy spellcaster's outstretched palm. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",,Sim
Praga da Ferrugem,Maldição,-,1,-,-,O Equipamento jogado é destruído antes do efeito. O oponente perde 1 de Mana. (Não implementado.),"A creeping rust-colored plague spreading across an enchanted weapon or armor, corroding it to dust in an instant. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",,Sim
Vínculo Sombrio,Maldição,-,2,-,-,O Combate do atacante é reduzido para exatamente 10 até o fim do turno.,"Dark chains of shadow wrapping around an enemy warrior's weapon arm, sapping their combat strength to a fraction of its former power. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",,Sim
Nevoeiro do Pânico,Maldição,-,3,-,-,O oponente descarta a carta comprada no início do turno e compra a do fundo do baralho.,"A thick eerie fog rolling across a battlefield, disorienting a warrior as their freshly drawn card dissolves into mist. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",,Sim
Barreira de Vento Cortante,Maldição,-,3,-,-,O ataque é negado e o atacante retorna para o Panteão do dono.,"A blade-sharp wall of cutting wind erupting between two combatants, slicing an incoming attack apart and hurling the attacker backward. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",,Sim
Retribuição Kármica,Maldição,-,4,-,-,O dano deste combate é redirecionado para o atacante em vez de atingir o seu combatente.,"A glowing karmic ward shimmering around a warrior, deflecting all incoming damage back toward the attacker in a burst of golden retribution. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",,Sim
Aperto da Múmia,Maldição,-,2,-,-,"O combatente invocado pelo oponente entra com -5 de Resistência e -3 de Combate, permanentemente.","A withered bandaged mummy's hand bursting from the ground, gripping an entering warrior and draining their vitality and strength. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",,Sim
Mente Fraturada,Maldição,-,2,-,-,"Quando o oponente comprar carta por um efeito, ele descarta a carta de maior Custo de Mana da mão.","A warrior's mind depicted shattering into fractured glass shards, their most valuable memory crumbling away first. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",,Sim
Amnésia Mágica,Maldição,-,3,-,-,"Quando o oponente ativar uma Habilidade, o combatente dele fica impedido de usar Habilidade de novo neste turno.","A swirling fog of forgetfulness enveloping a spellcaster's mind, their glowing mana sigils flickering out and vanishing. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",,Sim
Fio do Destino Cortado,Maldição,-,2,-,-,"Quando o oponente ativar uma Habilidade, inverte o sinal dos bônus e penalidades ativos no combatente dele (ex: +4 vira -4).","The glowing golden thread of fate being severed by spectral shears, the broken ends sparking and reversing their light from gold to black. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",,Sim
Rebote Arcano,Maldição,-,3,-,-,Redireciona o próximo feitiço do oponente para o combatente dele. (Não implementado.),"A wall of arcane mirrors deflecting an incoming spell straight back at the caster in a burst of reversed magical light. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",,Sim
Caixa de Pandora,Maldição,-,1,-,-,"Quando você tiver um Domínio ou Combatente destruído, o oponente descarta 3 cartas aleatórias da mão.","An ornate cursed box bursting open as a domain crumbles, dark smoke and shattered cards spilling out into the battlefield. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",,Sim
Apoio Incondicional,Encantamento,-,3,-,-,"Escolha o seu Combatente em campo e 1 no Panteão. Se um deles for alvo de um ataque ou de um efeito de carta do oponente, você pode dividir o dano da batalha igualmente entre os dois. (Não implementado.)",,,Sim
